IIN	Type	Name	Length
370370	Amex	PLATINUM	15
370371	Amex	PLATINUM	15
370372	Amex	PLATINUM	15
370373	Amex	PLATINUM	15
370374	Amex	PLATINUM	15
370375	Amex	PLATINUM	15
370376	Amex	PLATINUM	15
370377	Amex	PLATINUM	15
370378	Amex	PLATINUM	15
370379	Amex	PLATINUM	15
370700	Amex	AMEX	15
370701	Amex	AMEX	15
370702	Amex	AMEX	15
370703	Amex	AMEX	15
370704	Amex	AMEX	15
370705	Amex	AMEX	15
370706	Amex	AMEX	15
370707	Amex	AMEX	15
370708	Amex	AMEX	15
370709	Amex	AMEX	15
370710	Amex	AMEX	15
370711	Amex	AMEX	15
370712	Amex	AMEX	15
370713	Amex	AMEX	15
370714	Amex	AMEX	15
370715	Amex	AMEX	15
370716	Amex	AMEX	15
370717	Amex	AMEX	15
370718	Amex	AMEX	15
370719	Amex	AMEX	15
370720	Amex	AMEX	15
370721	Amex	AMEX	15
370722	Amex	AMEX	15
370723	Amex	AMEX	15
370724	Amex	AMEX	15
370725	Amex	AMEX	15
370726	Amex	AMEX	15
370727	Amex	AMEX	15
370728	Amex	AMEX	15
370729	Amex	AMEX	15
370730	Amex	AMEX	15
370731	Amex	AMEX	15
370732	Amex	AMEX	15
370733	Amex	AMEX	15
370734	Amex	AMEX	15
370735	Amex	AMEX	15
370736	Amex	AMEX	15
370737	Amex	AMEX	15
370738	Amex	AMEX	15
370739	Amex	AMEX	15
370740	Amex	AMEX	15
370741	Amex	AMEX	15
370742	Amex	AMEX	15
370743	Amex	AMEX	15
370744	Amex	AMEX	15
370745	Amex	AMEX	15
370746	Amex	AMEX	15
370747	Amex	AMEX	15
370748	Amex	AMEX	15
370749	Amex	AMEX	15
370750	Amex	AMEX	15
370751	Amex	AMEX	15
370752	Amex	AMEX	15
370753	Amex	AMEX	15
370754	Amex	AMEX	15
370755	Amex	AMEX	15
370756	Amex	AMEX	15
370757	Amex	AMEX	15
370758	Amex	AMEX	15
370759	Amex	AMEX	15
370760	Amex	AMEX	15
370761	Amex	AMEX	15
370762	Amex	AMEX	15
370763	Amex	AMEX	15
370764	Amex	AMEX	15
370765	Amex	AMEX	15
370766	Amex	AMEX	15
370767	Amex	AMEX	15
370768	Amex	AMEX	15
370769	Amex	AMEX	15
370770	Amex	AMEX	15
370771	Amex	AMEX	15
370772	Amex	AMEX	15
370773	Amex	AMEX	15
370774	Amex	AMEX	15
370775	Amex	AMEX	15
370776	Amex	AMEX	15
370777	Amex	AMEX	15
370778	Amex	AMEX	15
370779	Amex	AMEX	15
370780	Amex	AMEX	15
370781	Amex	AMEX	15
370782	Amex	AMEX	15
370783	Amex	AMEX	15
370784	Amex	AMEX	15
370785	Amex	AMEX	15
370786	Amex	AMEX	15
370787	Amex	AMEX	15
370788	Amex	AMEX	15
370789	Amex	AMEX	15
370790	Amex	AMEX	15
370791	Amex	AMEX	15
370792	Amex	AMEX	15
370793	Amex	AMEX	15
370794	Amex	AMEX	15
370795	Amex	AMEX	15
370796	Amex	AMEX	15
370797	Amex	AMEX	15
370798	Amex	AMEX	15
370799	Amex	AMEX	15
371000	Amex	GREEN	15
371001	Amex	GREEN	15
371002	Amex	GREEN	15
371003	Amex	GREEN	15
371004	Amex	GREEN	15
371005	Amex	GREEN	15
371006	Amex	GREEN	15
371007	Amex	GREEN	15
371008	Amex	GREEN	15
371009	Amex	GREEN	15
371010	Amex	GREEN	15
371011	Amex	GREEN	15
371012	Amex	GREEN	15
371013	Amex	GREEN	15
371014	Amex	GREEN	15
371015	Amex	GREEN	15
371016	Amex	GREEN	15
371017	Amex	GREEN	15
371018	Amex	GREEN	15
371019	Amex	GREEN	15
371020	Amex	GREEN	15
371021	Amex	GREEN	15
371022	Amex	GREEN	15
371023	Amex	GREEN	15
371024	Amex	GREEN	15
371025	Amex	GREEN	15
371026	Amex	GREEN	15
371027	Amex	GREEN	15
371028	Amex	GREEN	15
371029	Amex	GREEN	15
371030	Amex	GREEN	15
371031	Amex	GREEN	15
371032	Amex	GREEN	15
371033	Amex	GREEN	15
371034	Amex	GREEN	15
371035	Amex	GREEN	15
371036	Amex	GREEN	15
371037	Amex	GREEN	15
371038	Amex	GREEN	15
371039	Amex	GREEN	15
371040	Amex	GREEN	15
371041	Amex	GREEN	15
371042	Amex	GREEN	15
371043	Amex	GREEN	15
371044	Amex	GREEN	15
371045	Amex	GREEN	15
371046	Amex	GREEN	15
371047	Amex	GREEN	15
371048	Amex	GREEN	15
371049	Amex	GREEN	15
371050	Amex	GREEN	15
371051	Amex	GREEN	15
371052	Amex	GREEN	15
371053	Amex	GREEN	15
371054	Amex	GREEN	15
371055	Amex	GREEN	15
371056	Amex	GREEN	15
371057	Amex	GREEN	15
371058	Amex	GREEN	15
371059	Amex	GREEN	15
371060	Amex	GREEN	15
371061	Amex	GREEN	15
371062	Amex	GREEN	15
371063	Amex	GREEN	15
371064	Amex	GREEN	15
371065	Amex	GREEN	15
371066	Amex	GREEN	15
371067	Amex	GREEN	15
371068	Amex	GREEN	15
371069	Amex	GREEN	15
371070	Amex	GREEN	15
371071	Amex	GREEN	15
371072	Amex	GREEN	15
371073	Amex	GREEN	15
371074	Amex	GREEN	15
371075	Amex	GREEN	15
371076	Amex	GREEN	15
371077	Amex	GREEN	15
371078	Amex	GREEN	15
371079	Amex	GREEN	15
371080	Amex	GREEN	15
371081	Amex	GREEN	15
371082	Amex	GREEN	15
371083	Amex	GREEN	15
371084	Amex	GREEN	15
371085	Amex	GREEN	15
371086	Amex	GREEN	15
371087	Amex	GREEN	15
371088	Amex	GREEN	15
371089	Amex	GREEN	15
371090	Amex	GREEN	15
371091	Amex	GREEN	15
371092	Amex	GREEN	15
371093	Amex	GREEN	15
371094	Amex	GREEN	15
371095	Amex	GREEN	15
371096	Amex	GREEN	15
371097	Amex	GREEN	15
371098	Amex	GREEN	15
371099	Amex	GREEN	15
371100	Amex	AMEX	15
371101	Amex	AMEX	15
371102	Amex	AMEX	15
371103	Amex	AMEX	15
371104	Amex	AMEX	15
371105	Amex	AMEX	15
371106	Amex	AMEX	15
371107	Amex	AMEX	15
371108	Amex	AMEX	15
371109	Amex	AMEX	15
371110	Amex	AMEX	15
371111	Amex	AMEX	15
371112	Amex	AMEX	15
371113	Amex	AMEX	15
371114	Amex	AMEX	15
371115	Amex	AMEX	15
371116	Amex	AMEX	15
371117	Amex	AMEX	15
371118	Amex	AMEX	15
371119	Amex	AMEX	15
371120	Amex	AMEX	15
371121	Amex	AMEX	15
371122	Amex	AMEX	15
371123	Amex	AMEX	15
371124	Amex	AMEX	15
371125	Amex	AMEX	15
371126	Amex	AMEX	15
371127	Amex	AMEX	15
371128	Amex	AMEX	15
371129	Amex	AMEX	15
371130	Amex	AMEX	15
371131	Amex	AMEX	15
371132	Amex	AMEX	15
371133	Amex	AMEX	15
371134	Amex	AMEX	15
371135	Amex	AMEX	15
371136	Amex	AMEX	15
371137	Amex	AMEX	15
371138	Amex	AMEX	15
371139	Amex	AMEX	15
371140	Amex	AMEX	15
371141	Amex	AMEX	15
371142	Amex	AMEX	15
371143	Amex	AMEX	15
371144	Amex	AMEX	15
371145	Amex	AMEX	15
371146	Amex	AMEX	15
371147	Amex	AMEX	15
371148	Amex	AMEX	15
371149	Amex	AMEX	15
371150	Amex	AMEX	15
371151	Amex	AMEX	15
371152	Amex	AMEX	15
371153	Amex	AMEX	15
371154	Amex	AMEX	15
371155	Amex	AMEX	15
371156	Amex	AMEX	15
